#,Name,Release,Peak Users,Positive,Negative,Total,Rating
1,Vampire Survivors,10/20/2022,77061,202482,2785,205267,0.9742
2,Stray,7/19/2022,62963,120328,3302,123630,0.9594
3,Entropy : Zero 2,8/20/2022,3751,17429,296,17725,0.9579
4,Neon White,6/16/2022,3277,12040,198,12238,0.9554
5,PowerWash Simulator,7/14/2022,10512,37368,970,38338,0.9549
6,God of War,1/14/2022,73529,104938,3380,108318,0.9545
7,Placid Plastic Duck Simulator,7/6/2022,647,9562,155,9717,0.9535
8,Persona 5 Royal,10/21/2022,35474,41507,1206,42713,0.9527
9,CULTIC,10/13/2022,738,4456,52,4508,0.9497
10,Wobbledogs,3/15/2022,591,7359,132,7491,0.9495
11,Marvel’s Spider-Man Remastered,8/12/2022,66436,71548,2617,74165,0.9488
12,The Case of the Golden Idol,10/13/2022,520,4312,53,4365,0.9487
13,Teardown,4/21/2022,8339,72400,2741,75141,0.9477
14,Trombone Champ,9/16/2022,1067,7059,140,7199,0.9474
15,Lil Gator Game,12/14/2022,458,2688,19,2707,0.9473
16,Patrick's Parabox,3/29/2022,592,2620,18,2638,0.9471
17,The Looker,6/17/2022,1632,11770,303,12073,0.9469
18,Dorfromantik,4/28/2022,7101,22798,742,23540,0.9459
19,Ib,4/11/2022,2745,2730,25,2755,0.9457
20,A Castle Full of Cats,11/9/2022,190,2121,11,2132,0.9456
21,A Building Full of Cats,7/7/2022,115,2709,27,2736,0.9449
22,Stacklands,4/8/2022,5186,19773,666,20439,0.9439
23,Half-Life 2: VR Mod,9/16/2022,1793,4610,95,4705,0.9422
24,Metal: Hellsinger,9/15/2022,3569,10083,307,10390,0.9414
25,Lost in Play,8/10/2022,511,3361,59,3420,0.9411
26,Monster Prom 3: Monster Roadtrip,10/21/2022,1774,2336,28,2364,0.9411
27,The Planet Crafter,3/24/2022,14253,21645,827,22472,0.9405
28,Outcore,9/26/2022,453,6272,168,6440,0.9401
29,Monument Valley,7/12/2022,323,2502,36,2538,0.9399
30,Dungeon Munchies,7/27/2022,861,5995,161,6156,0.9396
31,Outpath: First Journey,12/17/2022,896,3593,74,3667,0.9393
32,ASTLIBRA ～生きた証～ Revision,10/13/2022,7000,16904,638,17542,0.9392
33,SuchArt!,10/13/2022,920,3508,75,3583,0.9383
34,Bugsnax,4/28/2022,949,3744,86,3830,0.9377
35,提西探险社,12/2/2022,175,2223,34,2257,0.9375
36,Aokana - EXTRA2,12/16/2022,531,1079,2,1081,0.9373
37,Cafe Stella,3/25/2022,1415,2633,49,2682,0.937
38,月に寄りそう乙女の作法,6/17/2022,689,2184,35,2219,0.9366
39,SIGNALIS,10/27/2022,872,9282,327,9609,0.9365
40,Sucker for Love,1/20/2022,247,2173,35,2208,0.9365
41,Frog Detective 3: Corruption at Cowboy County,10/27/2022,220,1202,7,1209,0.9359
42,Tiny Rogues,9/23/2022,1694,3254,76,3330,0.9357
43,FreshWomen - Season 1,8/19/2022,3383,12455,490,12945,0.9354
44,Downfall - A Slay the Spire Fan Expansion,3/25/2022,3132,2800,62,2862,0.9348
45,At Home Alone Final,1/1/2022,389,4943,151,5094,0.9343
46,Dialtown: Phone Dating Sim,2/14/2022,133,1146,9,1155,0.9333
47,怠惰的怪獸公主不想工作,6/22/2022,1102,4327,131,4458,0.9331
48,PlateUp!,8/4/2022,12460,13977,604,14581,0.933
49,Tinykin,8/30/2022,262,1359,16,1375,0.9329
50,Will You Snail?,3/9/2022,705,2297,49,2346,0.9328
51,枝江畔之梦,1/27/2022,541,1453,20,1473,0.9323
52,Chop Goblins,12/12/2022,198,1627,26,1653,0.9322
53,Retrowave,5/7/2022,638,13202,585,13787,0.9316
54,REFLEXIA Prototype ver.,8/31/2022,580,3117,90,3207,0.9304
55,NEEDY GIRL OVERDOSE,1/21/2022,3674,26636,1377,28013,0.9302
56,BABBDI,12/22/2022,117,2004,45,2049,0.9299
57,Against the Storm,11/1/2022,8425,12669,586,13255,0.9296
58,POSTAL Brain Damaged,6/9/2022,764,5368,199,5567,0.9296
59,Slime Rancher 2,9/22/2022,21524,20613,1068,21681,0.9284
60,The Upturned,3/23/2022,38,768,4,772,0.928
61,Dwarf Fortress,12/6/2022,28340,19917,1041,20958,0.9278
62,Super Lesbian Animal RPG,12/20/2022,119,830,6,836,0.9278
63,Beacon Pines,9/22/2022,198,1522,31,1553,0.9275
64,Farmer Against Potatoes Idle,8/25/2022,8951,3783,135,3918,0.927
65,I Was a Teenage Exocolonist,8/25/2022,688,1961,50,2011,0.927
66,COMPOUND,7/19/2022,102,1812,44,1856,0.9269
67,Raft,6/20/2022,101096,263204,17756,280960,0.9268
68,Cult of the Lamb,8/11/2022,61780,53125,3193,56318,0.9268
69,Aperture Desk Job,3/1/2022,3519,18979,1010,19989,0.9267
70,Save Room - Organization Puzzle,4/28/2022,147,1789,44,1833,0.9264
71,Nova Lands: Emilia's Mission,10/17/2022,806,1793,45,1838,0.926
72,Fear & Hunger 2: Termina,12/9/2022,608,2683,86,2769,0.9258
73,私のリアルは充実しすぎている フルボイス版,12/16/2022,1340,2716,88,2804,0.9257
74,Nightmare of Decay,5/3/2022,241,2662,86,2748,0.9255
75,Animal Revolt Battle Simulator,4/15/2022,1091,4356,177,4533,0.9244
76,Sudocats,3/14/2022,37,729,6,735,0.9244
77,Supraland Six Inches Under,1/14/2022,1973,2399,77,2476,0.9243
78,Insomnia: Theater in the Head,12/16/2022,80,1299,28,1327,0.9239
79,Dinkum,7/14/2022,13412,16799,936,17735,0.9237
80,时间切片：序章,11/24/2022,196,1684,45,1729,0.9237
81,Resonance of the Ocean,7/8/2022,29,1107,21,1128,0.9234
82,Cosmoteer: Starship Architect & Commander,10/24/2022,13794,7044,338,7382,0.9231
83,Judgment,9/14/2022,5606,5042,223,5265,0.923
84,Spark the Electric Jester 3,8/14/2022,239,1284,29,1313,0.9229
85,Symphony of War: The Nephilim Saga,6/10/2022,4383,8039,401,8440,0.9227
86,Soulstone Survivors: Prologue,8/26/2022,4818,3958,164,4122,0.9227
87,Spaceflight Simulator,2/18/2022,469,3400,134,3534,0.9226
88,Strange Horticulture,1/21/2022,1356,7634,380,8014,0.9223
89,Zodiacats,1/21/2022,37,580,3,583,0.9221
90,daydream 白日夢,3/2/2022,41,826,12,838,0.9217
91,POPGOES Arcade,7/1/2022,258,1196,28,1224,0.921
92,The Past Within,11/2/2022,11642,10625,584,11209,0.9209
93,SANABI,6/20/2022,415,2850,111,2961,0.9208
94,10 Minutes Till Dawn,5/11/2022,3444,4100,182,4282,0.9206
95,The Stanley Parable: Ultra Deluxe,4/27/2022,13802,21323,1315,22638,0.9203
96,Lunacid,3/15/2022,547,2332,85,2417,0.9203
97,BROK the InvestiGator,8/26/2022,223,789,12,801,0.9202
98,Pentiment,11/15/2022,1250,3994,178,4172,0.9201
99,Shadows Over Loathing,11/11/2022,3077,2246,81,2327,0.9201
100,Ever Seen A Cat?,1/18/2022,15,568,4,572,0.9201
101,FAITH,10/21/2022,693,3390,146,3536,0.9195
102,Lily's Well,1/4/2022,140,1503,45,1548,0.9193
103,Marvel's Spider-Man: Miles Morales,11/18/2022,13539,21784,1375,23159,0.9192
104,A Taste of the Past,3/11/2022,47,1155,29,1184,0.919
105,Love Delivery,5/30/2022,546,2071,76,2147,0.9185
106,Warsim: The Realm of Aslona,12/20/2022,263,1214,33,1247,0.9182
107,Lost Judgment,9/14/2022,2269,3503,160,3663,0.9177
108,Not For Broadcast,1/25/2022,864,9083,521,9604,0.9176
109,所向之未来 - Towards Future,2/18/2022,28,548,5,553,0.9176
110,恋爱绮谭 不存在的真相,10/28/2022,437,1546,51,1597,0.9173
111,Leap of Faith,2/11/2022,505,1456,48,1504,0.9163
112,The Legend of Heroes: Trails from Zero,9/27/2022,817,771,15,786,0.9163
113,Capybara Spa,3/14/2022,188,1173,34,1207,0.9161
114,The Complex: Found Footage,8/18/2022,235,6207,345,6552,0.9156
115,Teenage Mutant Ninja Turtles: Shredder's Revenge,6/16/2022,11933,10867,669,11536,0.9155
116,Last Command,10/25/2022,422,1452,50,1502,0.9151
117,Wylde Flowers,9/20/2022,653,1104,32,1136,0.9151
118,Tribal Hunter,8/22/2022,270,1142,34,1176,0.915
119,Roadwarden,9/12/2022,622,2271,97,2368,0.9148
120,Seal World,4/1/2022,14,383,1,384,0.9145
121,My Sticker Book,8/24/2022,27,959,26,985,0.9142
122,Melatonin,12/15/2022,314,3166,154,3320,0.9141
123,Klonoa Phantasy Reverie Series,7/7/2022,753,1303,44,1347,0.9139
124,ELDEN RING,2/24/2022,953426,646268,55564,701832,0.9135
125,14 Minesweeper Variants,11/14/2022,346,551,8,559,0.9134
