Tag,Number_Games
Indie,76691
Profile Features Limited,73923
Action,61475
Singleplayer,55916
Casual,53685
Adventure,51719
Simulation,33753
Strategy,31358
RPG,31105
2D,30129
3D,20332
Atmospheric,19122
Puzzle,17755
Fantasy,16828
Pixel Graphics,16644
Story Rich,16437
Colorful,16345
Exploration,15109
Cute,14529
Free to Play,13900
Multiplayer,13581
First-Person,13146
Early Access,13051
Arcade,12153
Anime,11717
Action-Adventure,11097
Shooter,11033
Funny,10912
Sci-fi,10680
Relaxing,10509
Sexual Content,10082
Nudity,9942
Platformer,9881
Horror,9784
Family Friendly,9762
Retro,9656
Female Protagonist,9221
Violent,9134
Combat,9055
Third Person,8898
Stylized,8343
Soundtrack,8288
Visual Novel,8045
Top-Down,8017
Open World,7946
Controller,7784
Survival,7563
Realistic,7492
Gore,7307
VR,7232
2D Platformer,7182
Sports,7166
Comedy,7097
Choices Matter,7087
PvP,7015
Difficult,6845
Cartoony,6750
Co-op,6739
FPS,6668
Old School,6659
Mystery,6482
Physics,6399
Linear,6364
Dark,6340
Multiple Endings,6171
Adult Content,6003
Racing,5949
Sandbox,5891
Medieval,5833
Minimalist,5757
PvE,5742
Character Customization,5731
Shoot 'Em Up,5641
Psychological Horror,5612
Point & Click,5558
Great Soundtrack,5438
Space,5333
Action RPG,5295
Massively Multiplayer,5252
Online Co-Op,5168
Magic,5121
Hand-drawn,5109
Tactical,4996
Side Scroller,4949
Rogue-like,4929
Building,4924
Management,4862
Rogue-lite,4656
Futuristic,4493
Puzzle-Platformer,4452
Tabletop,4410
Logic,4305
3D Platformer,4297
1980s,4294
Turn-Based Strategy,4176
Drama,4123
Choose Your Own Adventure,4117
Cartoon,4104
Crafting,4051
Procedural Generation,4013
Romance,3989
Turn-Based Combat,3940
Interactive Fiction,3903
Hidden Object,3889
Local Multiplayer,3858
Mature,3850
Turn-Based Tactics,3827
Party-Based RPG,3814
Dark Fantasy,3766
Survival Horror,3694
Turn-Based,3674
Education,3652
Hack and Slash,3642
JRPG,3640
Bullet Hell,3611
Design & Illustration,3585
Action Roguelike,3558
Immersive Sim,3554
Resource Management,3490
Emotional,3421
Dungeon Crawler,3299
War,3250
Nature,3219
Post-apocalyptic,3218
Dating Sim,3201
Zombies,3177
Historical,3158
1990's,3146
Base Building,3091
Walking Simulator,3063
Hentai,3058
Surreal,3054
Replay Value,3050
Top-Down Shooter,2965
Score Attack,2948
Local Co-Op,2815
Stealth,2785
Text-Based,2778
NSFW,2764
Isometric,2653
2.5D,2632
Military,2625
Card Game,2624
Third-Person Shooter,2577
Narration,2559
Cinematic,2490
Cyberpunk,2485
RTS,2458
LGBTQ+,2444
Utilities,2415
Life Sim,2367
Clicker,2366
Investigation,2353
Board Game,2344
Web Publishing,2323
Software,2318
Aliens,2275
Abstract,2254
Robots,2242
Precision Platformer,2223
Detective,2216
Strategy RPG,2175
Short,2150
Conversation,2150
Fast-Paced,2122
Arena Shooter,2118
Dark Humor,2096
Driving,2090
Real Time Tactics,2075
Tower Defense,2063
Economy,2061
Memes,2044
Time Management,2035
Demons,1987
Perma Death,1981
Flight,1976
RPGMaker,1960
City Builder,1942
Lore-Rich,1928
Thriller,1915
Nonlinear,1914
Team-Based,1885
Tactical RPG,1848
Psychological,1829
Metroidvania,1825
Tutorial,1816
