#,Name,Release,Peak Users,Positive,Negative,Total,Rating
1,RimWorld,10/17/2018,60789,163132,3168,166300,0.9681
2,Bloons TD 6,12/18/2018,53943,263672,6934,270606,0.9634
3,Celeste,1/25/2018,4177,77196,1865,79061,0.9604
4,Dead Cells,8/6/2018,14910,133306,3898,137204,0.9582
5,Subnautica,1/24/2018,51156,234302,8047,242349,0.9556
6,Just Shapes & Beats,5/31/2018,966,17247,406,17653,0.9519
7,DUSK,12/10/2018,551,18686,470,19156,0.951
8,GRIS,12/13/2018,1354,63234,2232,65466,0.9494
9,Epic Battle Fantasy 5,11/30/2018,2648,4707,60,4767,0.9493
10,Blade & Sorcery,12/11/2018,4892,42044,1398,43442,0.949
11,Mirror,4/19/2018,8250,83415,3351,86766,0.9463
12,The Forest,4/30/2018,76226,467922,22313,490235,0.9457
13,Zup! S,11/15/2018,722,12223,336,12559,0.9456
14,Return of the Obra Dinn,10/18/2018,1256,21166,697,21863,0.945
15,Cube Escape: Paradox,9/20/2018,1837,8149,213,8362,0.9432
16,Fox Hime Zero,5/24/2018,383,4679,119,4798,0.9382
17,Yakuza 0,8/1/2018,8985,57876,2788,60664,0.9375
18,Ultimate Custom Night,6/27/2018,11320,47536,2280,49816,0.9367
19,Kenshi,12/6/2018,10971,69451,3498,72949,0.9365
20,NEKOPARA Extra,7/27/2018,575,3433,83,3516,0.9356
21,Zup! X,5/17/2018,389,6046,198,6244,0.9346
22,Lethal League Blaze,10/24/2018,2673,5570,180,5750,0.9341
23,Flowers -Le volume sur ete-,7/26/2018,34,1026,5,1031,0.9338
24,The Room Three,11/13/2018,1339,9528,369,9897,0.9337
25,Hello Charlotte: Childhood's End,1/4/2018,70,1621,25,1646,0.9327
26,The Void Rains Upon Her Heart,2/14/2018,131,782,0,782,0.9327
27,Coloring Pixels,8/17/2018,1535,6067,227,6294,0.9306
28,The Curse of Monkey Island,3/22/2018,374,2180,55,2235,0.9288
29,Mark of the Ninja: Remastered,10/9/2018,687,4931,186,5117,0.9282
30,Maitetsu:Pure Station,9/21/2018,339,3184,102,3286,0.928
31,STEINS;GATE 0,5/8/2018,787,4910,187,5097,0.9278
32,Farming Simulator 19,11/19/2018,59466,65051,3961,69012,0.9271
33,Meteor 60 Seconds!,2/26/2018,346,4125,153,4278,0.9268
34,Kingdom Rush Origins,10/17/2018,2000,5246,217,5463,0.9258
35,Airships: Conquer the Skies,8/16/2018,1313,4926,200,5126,0.9258
36,Miracle Snack Shop,12/25/2018,345,2159,62,2221,0.9257
37,The Witch's House MV,10/31/2018,195,2503,79,2582,0.9253
38,House Flipper,5/17/2018,13032,72852,4725,77577,0.9243
39,Yoku's Island Express,5/29/2018,283,3982,159,4141,0.924
40,The Walking Dead: The Final Season,8/14/2018,4120,14967,820,15787,0.9237
41,Into the Breach,2/27/2018,14682,16616,929,17545,0.9235
42,Zup! 8,2/22/2018,754,3801,157,3958,0.9223
43,永冻之壳 The Shell of Permafrost,12/9/2018,33,1045,21,1066,0.9214
44,FAR: Lone Sails,5/17/2018,924,14368,830,15198,0.9208
45,DISTRAINT 2,11/13/2018,96,3333,139,3472,0.9204
46,Farm Together,10/11/2018,6998,18867,1151,20018,0.9201
47,Door Kickers: Action Squad,9/10/2018,2454,8612,476,9088,0.9188
48,SYNTHETIK,3/16/2018,3458,11188,664,11852,0.9176
49,Bean Battles,8/22/2018,286,8459,485,8944,0.917
50,Mhakna Gramura and Fairy Bell,2/19/2018,25,584,7,591,0.9167
51,The Crown of Leaves,11/26/2018,270,1680,60,1740,0.9163
52,The Red Strings Club,1/22/2018,287,9506,567,10073,0.916
53,The Ditzy Demons Are in Love With Me,10/26/2018,141,1411,47,1458,0.9156
54,My Brother Rabbit,9/21/2018,89,1569,56,1625,0.9153
55,Wandersong,9/27/2018,226,2950,138,3088,0.9148
56,killer7,11/15/2018,224,2353,103,2456,0.9144
57,Unavowed,8/8/2018,327,1936,79,2015,0.9142
58,Heartbound,12/25/2018,121,1400,49,1449,0.9141
59,"one night, hot springs",8/30/2018,62,2287,100,2387,0.914
60,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,8/17/2018,87,1168,37,1205,0.9138
61,Scalak,5/22/2018,32,846,21,867,0.9137
62,Parkitect,11/29/2018,1400,6219,361,6580,0.9136
63,Rusty Lake Paradise,1/11/2018,1139,3866,202,4068,0.9134
64,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,6/14/2018,46,489,6,495,0.9126
65,Noel the Mortal Fate S1-7,5/15/2018,137,1905,81,1986,0.9125
66,Akane,9/10/2018,117,2343,108,2451,0.9124
67,DEEP SPACE WAIFU: NEKOMIMI,12/18/2018,135,997,30,1027,0.9124
68,The House in Fata Morgana: A Requiem for Innocence,5/17/2018,54,836,22,858,0.9123
69,CrossCode,9/21/2018,3429,13535,920,14455,0.9119
70,The Messenger,8/30/2018,679,8345,533,8878,0.9115
71,Muv-Luv Alternative,2/28/2018,200,2158,99,2257,0.9115
72,"OH MY GOD, LOOK AT THIS KNIGHT",2/20/2018,46,1768,76,1844,0.9111
73,Sprout,1/5/2018,46,1435,57,1492,0.9106
74,Among Us,11/16/2018,447476,612620,54860,667480,0.9104
75,Moss,6/7/2018,164,2714,138,2852,0.9104
76,Delete,1/25/2018,43,1322,51,1373,0.9103
77,Do Not Feed the Monkeys,10/24/2018,1888,8301,543,8844,0.9102
78,DYO,2/14/2018,113,999,33,1032,0.9101
79,Lobotomy Corporation,4/9/2018,3748,26333,1996,28329,0.9099
80,Rolling Line,4/27/2018,146,1652,72,1724,0.9096
81,Jet Island,9/21/2018,87,1531,66,1597,0.9089
82,Bloodstained: Curse of the Moon,5/24/2018,953,3647,210,3857,0.9085
83,RetroMaze,5/21/2018,9,1181,46,1227,0.9082
84,Monster Prom,4/27/2018,1510,11819,845,12664,0.9081
85,Ding Dong XL,6/15/2018,696,735,21,756,0.908
86,Liftoff,9/13/2018,646,6901,457,7358,0.9079
87,Swarmlake,3/12/2018,437,1612,73,1685,0.9079
88,Marie's Room,4/13/2018,285,5724,368,6092,0.9077
89,Kaori After Story,12/3/2018,123,445,7,452,0.9076
90,Hentai Girl Linda,12/7/2018,393,4339,268,4607,0.907
91,Half-Life 2: Year Long Alarm,11/16/2018,48,1701,81,1782,0.9068
92,Google Spotlight Stories: Age of Sail,11/14/2018,18,435,7,442,0.9068
93,Yume Nikki,1/10/2018,469,5671,371,6042,0.9067
94,Frostpunk,4/24/2018,29361,86236,7499,93735,0.9066
95,"Guns, Gore and Cannoli 2",3/2/2018,568,3571,213,3784,0.9066
96,ISLAND,8/24/2018,80,1300,56,1356,0.9064
97,Friday the 13th: Killer Puzzle,4/13/2018,1674,5424,356,5780,0.9061
98,ZeroRanger,9/28/2018,74,1253,54,1307,0.9058
99,KovaaK's,4/3/2018,2846,26826,2177,29003,0.9057
100,Pit People,3/2/2018,2504,7123,497,7620,0.9053
101,Battle for Wesnoth,5/2/2018,1019,4142,262,4404,0.9053
102,Horizon Chase Turbo,5/15/2018,226,4755,310,5065,0.9051
103,Adventure of a Lifetime,4/26/2018,95,738,24,762,0.905
104,Super Ledgehop: Double Laser,11/16/2018,18,606,17,623,0.9046
105,Megaquarium,9/13/2018,917,2589,149,2738,0.9045
106,Hentai Girl,8/17/2018,450,12944,998,13942,0.9042
107,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],8/21/2018,1377,3308,204,3512,0.9041
108,A Raven Monologue,1/11/2018,70,2311,130,2441,0.9041
109,TSIOQUE,11/7/2018,94,1522,75,1597,0.9039
110,Crash Bandicoot™ N. Sane Trilogy,6/29/2018,3755,14268,1120,15388,0.9038
111,PIPE,3/15/2018,439,5593,387,5980,0.9035
112,Montaro : RE,11/23/2018,45,1203,55,1258,0.9031
113,Gachi Heroes,10/26/2018,1984,2005,112,2117,0.9025
114,The Awesome Adventures of Captain Spirit,6/25/2018,8739,12127,963,13090,0.9019
115,Zero-K,4/27/2018,946,2976,187,3163,0.9019
116,The Hex,10/16/2018,118,3069,198,3267,0.9009
117,The Bard's Tale Trilogy,8/14/2018,696,1183,57,1240,0.9008
118,Hentai Girl Hime,11/6/2018,298,3805,259,4064,0.9005
119,DEEP SPACE WAIFU: FANTASY,9/27/2018,373,1113,53,1166,0.9003
120,Secret Little Haven,4/16/2018,18,343,6,349,0.9
121,Dungreed,2/15/2018,3332,7536,582,8118,0.8998
122,Katamari Damacy REROLL,12/6/2018,433,4526,323,4849,0.8997
123,Lost in Vivo,11/5/2018,79,2657,170,2827,0.8997
124,428 Shibuya Scramble,9/4/2018,408,1628,91,1719,0.8996
125,Hexologic,5/29/2018,133,944,43,987,0.8992
126,The Legend of Heroes: Trails of Cold Steel II,2/14/2018,1689,2329,146,2475,0.8991
127,TREE,8/13/2018,26,1964,118,2082,0.8989
128,Crystalline,8/22/2018,109,1277,67,1344,0.8987
129,Chinese Parents,9/29/2018,32593,20873,1839,22712,0.8986
130,EXAPUNKS,10/22/2018,764,1477,82,1559,0.8985
131,Banyu Lintar Angin - Little Storm -,1/11/2018,10,719,29,748,0.8983
132,HITMAN™ 2,11/13/2018,361001,66992,6447,73439,0.8981
133,Two Point Hospital,8/30/2018,34009,27965,2542,30507,0.8981
134,BallisticNG,12/15/2018,113,2563,168,2731,0.898
135,Distance,9/18/2018,463,6288,489,6777,0.8978
136,The Gardens Between,9/20/2018,138,2280,146,2426,0.8977
137,Bad North,11/16/2018,1136,7811,629,8440,0.8975
138,Wolf Tails,5/4/2018,105,827,37,864,0.8975
139,Hakuoki: Edo Blossoms,3/13/2018,128,734,31,765,0.8972
140,东方试闻广纪 ~ Perfect Memento of Touhou Question,8/3/2018,145,803,36,839,0.8969
141,Aimtastic,1/28/2018,230,2439,163,2602,0.8964
142,Overload,5/31/2018,276,1719,105,1824,0.8963
143,Copy Kitty,4/19/2018,149,327,7,334,0.8958
144,Cursed Armor/詛咒铠甲,11/15/2018,119,460,15,475,0.8952
145,Cheeky Chooks,11/1/2018,427,2296,155,2451,0.8951
146,Attack on Titan 2 - A.O.T.2,3/15/2018,1385,5363,426,5789,0.895
147,"Warhammer 40,000: Mechanicus",11/15/2018,2748,10632,924,11556,0.8949
148,Sam & Max Hit the Road,11/16/2018,41,620,26,646,0.8942
149,Genital Jousting,1/18/2018,610,9392,816,10208,0.894
150,HELLO LADY!,6/29/2018,114,760,36,796,0.8939
151,DARK SOULS™: REMASTERED,5/23/2018,24501,76568,7840,84408,0.8937
152,WhiteLily 1：丽丽公主,8/17/2018,799,1149,66,1215,0.8932
153,VR Flush,6/20/2018,13,716,34,750,0.8927
154,Muv-Luv,2/28/2018,204,1036,58,1094,0.8926
155,Monobeno,1/26/2018,74,587,25,612,0.8926
156,Fureraba ~Friend to Lover~,5/4/2018,69,303,7,310,0.8926
157,The Jackbox Party Pack 5,10/17/2018,2748,2273,161,2434,0.8924
158,Touhou Genso Wanderer -Reloaded- / 不可思议的幻想乡TOD -RELOADED- / 不思議の幻想郷TOD -RELOADED-,10/26/2018,1183,1613,105,1718,0.8923
159,Reentry - An Orbital Simulator,11/15/2018,56,542,23,565,0.8912
160,Devil May Cry HD Collection,3/13/2018,767,8514,762,9276,0.8911
161,Frog Detective 1: The Haunted Island,11/22/2018,42,3539,281,3820,0.8908
162,Kingdom Two Crowns,12/11/2018,4097,18687,1819,20506,0.8906
163,Overcooked! 2,8/7/2018,12108,46958,4880,51838,0.8904
164,Simson Tuningwerkstatt 3D,12/3/2018,57,216,3,219,0.8904
165,Siralim 3,10/15/2018,193,908,51,959,0.8903
166,DRAGON BALL FighterZ,1/26/2018,44303,57283,6037,63320,0.8901
167,Fallen Hero: Rebirth,3/15/2018,196,335,10,345,0.89
168,GROUND BRANCH,8/14/2018,1674,13747,1319,15066,0.8897
169,Broken Reality,11/29/2018,59,1410,93,1503,0.8897
170,DX-Ball 2: 20th Anniversary Edition,11/21/2018,80,393,14,407,0.8894
171,Russian Subway Dogs,8/2/2018,22,229,4,233,0.8894
172,神社的百合香 ~ Floral Aroma in the Shrine,10/1/2018,20,607,29,636,0.8893
173,Wizard of Legend,5/15/2018,6487,16725,1646,18371,0.889
174,Fatal Twelve,3/30/2018,56,774,42,816,0.8889
175,FRAMED Collection,5/17/2018,461,1981,146,2127,0.8884
176,Paradise Cleaning!,10/31/2018,137,1207,78,1285,0.8884
177,天命奇御 Fate Seeker,8/8/2018,16413,11623,1123,12746,0.888
178,TerraTech,8/10/2018,5726,18191,1831,20022,0.8878
179,Ghost of a Tale,3/13/2018,883,4032,343,4375,0.8878
180,7 Billion Humans,8/23/2018,715,1529,107,1636,0.8878
181,Racket: Nx,7/17/2018,31,482,21,503,0.8878
182,MewnBase,12/7/2018,102,1052,66,1118,0.8877
183,Your Dry Delight,8/17/2018,32,574,28,602,0.8875
184,Equilinox,11/23/2018,588,2586,205,2791,0.8874
185,Zup! Zero 2,9/11/2018,1783,974,60,1034,0.8873
186,A Light in the Dark,6/15/2018,158,1523,108,1631,0.887
187,Speed Dating for Ghosts,2/14/2018,66,416,17,433,0.8867
188,EMERGENCY 4 Deluxe,4/24/2018,652,1345,93,1438,0.8866
189,Mutant Year Zero: Road to Eden,12/4/2018,4067,17126,1762,18888,0.8857
190,Romance of the Three Kingdoms XI with Power Up Kit,1/17/2018,1701,2458,200,2658,0.8852
191,Duck Souls,9/6/2018,7,272,8,280,0.8851
192,Cateau,10/17/2018,30,343,13,356,0.8845
193,Donut County,8/28/2018,636,7301,710,8011,0.8839
194,Love's Sweet Garnish,9/7/2018,79,668,39,707,0.8831
195,Evenicle,10/10/2018,266,1066,74,1140,0.8828
196,Shan Gui II: Sweet Osmanthus II,12/16/2018,232,478,24,502,0.8827
197,Snow Daze,10/29/2018,115,1146,83,1229,0.8817
198,Mini-Dead,5/4/2018,99,754,48,802,0.8814
199,Assassin's Creed Odyssey,10/5/2018,62069,127216,15404,142620,0.881
200,Lake of Voices,8/28/2018,56,487,26,513,0.8807
201,Timberman VS,10/12/2018,2649,3090,281,3371,0.8805
202,Nowhere Patrol,11/5/2018,14,186,4,190,0.8804
203,Lucah: Born of a Dream,8/21/2018,23,382,18,400,0.8801
204,Null Vector,5/3/2018,142,260,9,269,0.8801
205,Golf Peaks,11/13/2018,39,407,20,427,0.88
206,The Adventure Pals,4/3/2018,336,1539,124,1663,0.8798
207,Space Between Worlds,7/30/2018,16,430,22,452,0.8797
208,A Book of Beasts and Buddies,11/14/2018,18,365,17,382,0.8795
209,LEGO® DC Super-Villains,10/16/2018,866,4767,469,5236,0.8793
210,Teleportals. I swear it's a nice game,6/16/2018,16,298,12,310,0.8793
211,Isoland 2: Ashes of Time,5/2/2018,77,256,9,265,0.8792
212,El Tango de la Muerte,4/24/2018,10,240,8,248,0.8789
213,Outlaws + A Handful of Missions,11/16/2018,28,508,29,537,0.8788
214,Hiveswap Friendsim,4/13/2018,747,1169,90,1259,0.8786
215,Bud Spencer & Terence Hill - Slaps And Beans,4/20/2018,226,1487,123,1610,0.8777
216,Touhou: Scarlet Curiosity,7/11/2018,164,971,73,1044,0.877
217,Welcome to Light Fields,3/14/2018,71,259,10,269,0.877
218,Rise Of Titans,7/31/2018,21,244,9,253,0.8767
219,Dark Deception,9/27/2018,1461,14350,1628,15978,0.8765
220,Sunset Overdrive,11/16/2018,2326,9478,1039,10517,0.8765
221,Re Angel,4/17/2018,73,137,2,139,0.8759
222,The Navigator,8/3/2018,22,212,7,219,0.8757
223,Mega Man 11,10/2/2018,1629,3577,361,3938,0.8745
224,Kabounce,5/29/2018,2597,2298,217,2515,0.8745
225,Pummel Party,9/20/2018,20957,40498,5030,45528,0.8741
226,I Walk Among Zombies Vol. 1 (Adult Version),12/17/2018,36,404,23,427,0.8741
227,The Vagrant,7/13/2018,1268,6634,725,7359,0.874
228,Wrongworld,5/11/2018,44,426,25,451,0.874
229,The Office Quest,5/25/2018,101,651,46,697,0.8736
230,OPUS: Rocket of Whispers,2/8/2018,51,1234,105,1339,0.8733
231,Garden Paws,12/18/2018,340,2098,199,2297,0.8731
232,Maitetsu,6/29/2018,37,327,17,344,0.873
233,Guacamelee! 2,8/21/2018,770,2546,250,2796,0.8729
234,Candleman: The Complete Journey,2/1/2018,127,1026,84,1110,0.8729
235,Marble It Up! Ultra,11/16/2018,172,654,47,701,0.8728
236,Lily's Night Off,8/20/2018,7,93,0,93,0.8726
237,Full Metal Furies,1/17/2018,587,2384,233,2617,0.8725
238,Hiding Spot,10/16/2018,10,126,2,128,0.8722
239,Supipara - Chapter 2 Spring Has Come!,4/12/2018,19,92,0,92,0.8722
240,Dig or Die,7/10/2018,868,3644,381,4025,0.872
241,Shaolin vs Wutang,7/26/2018,38,886,71,957,0.8719
242,LUMINES REMASTERED,6/26/2018,74,466,30,496,0.8717
243,For The King,4/19/2018,9993,30962,3907,34869,0.8713
244,FINAL FANTASY XII THE ZODIAC AGE,2/1/2018,8386,6187,693,6880,0.8713
245,GLAD VALAKAS SIMULATOR,6/14/2018,35,420,26,446,0.8713
246,Viki Spotter: Camping,7/18/2018,73,208,8,216,0.8713
247,Jimmy and the Pulsating Mass,8/7/2018,54,419,26,445,0.8712
248,Steven Universe: Save the Light,8/13/2018,200,1068,91,1159,0.8711
249,月夜下的紅茶杯 ~ Blacktea With Moon,5/9/2018,22,504,34,538,0.871
250,Gizmo,12/5/2018,23,281,14,295,0.8709
